UDP_ID,SKU_ID,Sum of Sales,ProductName,Manu,IS PL?,Current Sales Rank,Suggested UDP Rank,July- Pageviews,Aug- Pageviews,Comments
34,555713,555709.2599,"Tata 1mg Senior 50+ Multivitamin & Multimineral Immunity Booster Zinc, Vitamin C, Calcium, and Vitamin D Veg Tablet",Tata 1mg Healthcare Solutions Private Limited,1,10,4,6832,8658,
496,555721,1051290.311,"Tata 1mg Women's Multivitamin, Zinc, Vitamin C, Calcium, Vitamin D, and Iron  Immunity Booster Tablet",Tata 1mg Healthcare Solutions Private Limited,1,1,1,6692,3858,
496,503409,760143.2655,"Tata 1mg Multivitamin Supreme, Zinc, Calcium and Vitamin D Immunity Booster Capsule",Tata 1mg Healthcare Solutions Private Limited,1,2,2,6692,3858,
496,551156,602624.4237,Tata 1mg Biotin + Tablet,Tata 1mg Healthcare Solutions Private Limited,1,3,3,6692,3858,
23,555721,1051290.311,"Tata 1mg Women's Multivitamin, Zinc, Vitamin C, Calcium, Vitamin D, and Iron  Immunity Booster Tablet",Tata 1mg Healthcare Solutions Private Limited,1,3,1,6142,3308,
23,551156,602624.4237,Tata 1mg Biotin + Tablet,Tata 1mg Healthcare Solutions Private Limited,1,6,2,6142,3308,
23,503408,411422.2655,"Tata 1mg Hair, Skin & Nails Supreme Collagen, Biotin, Zinc, Iron and Vitamin B Capsule",Tata 1mg Healthcare Solutions Private Limited,1,12,3,6142,3308,
854,503409,760143.2655,"Tata 1mg Multivitamin Supreme, Zinc, Calcium and Vitamin D Immunity Booster Capsule",Tata 1mg Healthcare Solutions Private Limited,1,6,2,6117,505,
854,503408,411422.2655,"Tata 1mg Hair, Skin & Nails Supreme Collagen, Biotin, Zinc, Iron and Vitamin B Capsule",Tata 1mg Healthcare Solutions Private Limited,1,14,3,6117,505,
305,608738,18576.14286,1mg Sanitizing Wipes (70 Each) Buy 3 Get 1 Free,Tata 1mg Healthcare Solutions Private Limited,1,21,4,5943,4554,
